,Stand,Trt,N,P
4,C1,Control,25.26066667,1.188666667
5,C2,Control,24.67066667,0.992
6,C4,Control,27.02466667,1.328666667
7,C6,Control,27.11857143,1.170714286
8,C8,Control,20.11888889,1.231111111
9,C9,Control,21.84111111,1.042222222
10,C1,N,29.2175,0.96625
11,C2,N,27.85733333,1.198666667
12,C4,N,30.928,1.096666667
13,C6,N,27.93066667,1.233333333
14,C8,N,22.50555556,1.275555556
15,C9,N,24.67428571,1.021428571
16,C1,NP,28.02555556,1.628888889
17,C2,NP,24.984,1.630666667
18,C4,NP,28.78714286,1.616428571
19,C6,NP,27.598,1.695333333
20,C8,NP,24.36333333,1.442222222
21,C9,NP,23.99444444,1.438888889
22,C1,P,27.54333333,1.694444444
23,C2,P,22.61428571,1.543571429
24,C4,P,23.89,1.939285714
25,C6,P,24.71166667,1.749166667
26,C8,P,19.31142857,1.738571429
27,C9,P,22.76222222,1.541111111
