Stand,Age,Plot,Sub-plot (old system),subplot,Species,Current Tag #,Previous Tag #s,Date measured,dbh.cm,BA.m2
C1,Young,1,,A1,PC,412,,3-Aug-11,12.2,116.8986606
C1,Young,1,,A1,PC,413,,3-Aug-11,12.6,124.6898103
C1,Young,1,,A1,WB,1812,,3-Aug-11,11.3,100.2874898
C1,Young,1,,A1,WB,1827,,3-Aug-11,11.2,98.52034394
C1,Young,1,,A1,WB,1035,,3-Aug-11,12.6,124.6898103
C1,Young,1,,A2,WB,1037,,3-Aug-11,13.1,134.7821765
C1,Young,1,,A3,PC,2199,,3-Aug-11,10.7,89.92023419
C1,Young,1,,B1,BE,435,,3-Aug-11,16.8,221.6707739
C1,Young,1,,B1,WB,1809,,3-Aug-11,10.5,86.59014604
C1,Young,1,,B1,WB,1810,,3-Aug-11,11.3,100.2874898
C1,Young,1,,B1,WB,1811,,3-Aug-11,11.8,109.3588384
C1,Young,1,,B1,WB,1036,,3-Aug-11,12,113.0973336
C1,Young,1,,B1,WB,1047,,3-Aug-11,12.7,126.6768676
C1,Young,1,,B1,WB,1051,,3-Aug-11,12.5,122.7184609
C1,Young,1,,B1,WB,1049,,3-Aug-11,13.2,136.8477737
C1,Young,1,e,B2,BE,775,,3-Aug-11,7.8,47.78362345
C1,Young,1,,B2,PC,1026,,3-Aug-11,12,113.0973336
C1,Young,1,,B2,WB,1025,,3-Aug-11,11.8,109.3588384
C1,Young,1,,B2,WB,791,,3-Aug-11,14.3,160.6060677
C1,Young,1,,B2,WB,429,,3-Aug-11,14.5,165.129961
C1,Young,1,,B2,WB,420,,3-Aug-11,16.9,224.3175656
C1,Young,1,,B2,YB,1808,,3-Aug-11,11.7,107.5131528
C1,Young,1,,B3,ASH,1807,,3-Aug-11,13.4,141.0260918
C1,Young,1,,B3,PC,1027,,3-Aug-11,11.4,102.0703436
C1,Young,1,,B3,WB,1804,,3-Aug-11,10.9,93.3131542
C1,Young,1,,B3,WB,1805,,3-Aug-11,11.2,98.52034394
C1,Young,1,,B3,WB,1806,,3-Aug-11,11.8,109.3588384
C1,Young,1,,B3,WB,418,,3-Aug-11,14.1,156.1450062
C1,Young,1,,B3,PC,2652,,3-Aug-11,9.6,72.3822935
C1,Young,1,,C1,PC,1048,,3-Aug-11,11.4,102.0703436
C1,Young,1,,C1,PC,443,,3-Aug-11,11.7,107.5131528
C1,Young,1,,C1,PC,442,,3-Aug-11,14.4,162.8601604
C1,Young,1,,C1,PC,441,,3-Aug-11,15.2,181.4583886
C1,Young,1,,C1,WB,1713,,3-Aug-11,10.6,88.24733613
C1,Young,1,,C1,WB,439,,3-Aug-11,14.5,165.129961
C1,Young,1,,C1,WB,437,,3-Aug-11,15.4,186.2650253
C1,Young,1,,C1,PC,2647,,3-Aug-11,10.5,86.59014604
C1,Young,1,,C1,PC,,,3-Aug-11,11.4,102.0703436
C1,Young,1,,C2,PC,2200,,3-Aug-11,10.3,83.32288973
C1,Young,1,,C2,WB,1338,,3-Aug-11,11.6,105.6831751
C1,Young,1,,C2,PC,2638,,3-Aug-11,10,78.539815
C1,Young,1,,C2,WB,2646,,3-Aug-11,9.9,76.97687268
C1,Young,1,,C2,WB,1830,,3-Aug-11,11.4,102.0703436
C1,Young,1,,C3,PC,1802,,3-Aug-11,9.9,76.97687268
C1,Young,1,,C3,WB,1801,,3-Aug-11,11.5,103.8689053
C1,Young,1,,C3,WB,1734,,3-Aug-11,11,95.03317615
C1,Young,1,,C3,WB,1803,,3-Aug-11,11.7,107.5131528
C1,Young,1,,C1/C2,BE,787,,3-Aug-11,,0
C1,Young,2,,A1,WB,1818,,3-Aug-11,11.7,107.5131528
C1,Young,2,,A1,WB,1821,,3-Aug-11,11.9,111.220232
C1,Young,2,,A1,WB,2641,,3-Aug-11,10.4,84.9486639
C1,Young,2,,A2,WB,1822,,3-Aug-11,11,95.03317615
C1,Young,2,,A2,WB,1032,,3-Aug-11,13.8,149.5712237
C1,Young,2,,A2,PC,2649,,3-Aug-11,10.7,89.92023419
C1,Young,2,,A2,WB,2650,,3-Aug-11,10,78.539815
C1,Young,2,,A2,PC,2654,,3-Aug-11,11,95.03317615
C1,Young,2,,A3,WB,1819,,3-Aug-11,12.2,116.8986606
C1,Young,2,,A3,WB,1823,,3-Aug-11,12.6,124.6898103
C1,Young,2,,A3,WB,1028,,3-Aug-11,13.1,134.7821765
C1,Young,2,,A3,WB,400,,3-Aug-11,13.3,138.9290788
C1,Young,2,,B1,ASH,1817,,3-Aug-11,11.4,102.0703436
C1,Young,2,,B1,BE,722,,3-Aug-11,5.7,25.51758589
C1,Young,2,,B1,PC,1816,,3-Aug-11,10.9,93.3131542
C1,Young,2,,B1,PC,402,,3-Aug-11,12.6,124.6898103
C1,Young,2,,B1,WB,701,,3-Aug-11,8.8,60.82123274
C1,Young,2,,B1,WB,2198,,3-Aug-11,10.8,91.60884022
C1,Young,2,,B1,WB,2656,,3-Aug-11,10.5,86.59014604
C1,Young,2,,B2,PC,1039,,3-Aug-11,13.2,136.8477737
C1,Young,2,,B2,WB,1820,,3-Aug-11,11.2,98.52034394
C1,Young,2,,B2,WB,1824,,3-Aug-11,11.3,100.2874898
C1,Young,2,,B2,WB,2645,,3-Aug-11,10.9,93.3131542
C1,Young,2,,B3,WB,2653,,3-Aug-11,10.4,84.9486639
C1,Young,2,,C1,BE,714,,3-Aug-11,9.9,76.97687268
C1,Young,2,,C1,PC,411,,3-Aug-11,11.7,107.5131528
C1,Young,2,,C1,WB,712,,3-Aug-11,10.8,91.60884022
C1,Young,2,,C1,WB,1815,,3-Aug-11,11.2,98.52034394
C1,Young,2,,C2,BE,734,,3-Aug-11,4.1,13.2025429
C1,Young,2,,C2,PC,1029,,3-Aug-11,12,113.0973336
C1,Young,2,,C2,WB,1814,,3-Aug-11,11,95.03317615
C1,Young,2,,C2,WB,1033,,3-Aug-11,13.5,143.1388128
