,Stand,Trt,total_N,no3,nh4,P
1,C1,Control,153.496875,1.846875,151.65,6.462466614
2,C2,Control,53.631375,5.770125,47.86125,4.14114847
3,C3,Control,152.8125,59.2125,93.6,4.170027029
4,C4,Control,135.08175,1.80675,133.275,5.131195219
5,C5,Control,214.673625,2.948625,211.725,54.32320719
6,C6,Control,196.65,19.9875,176.6625,3.406444998
7,C7,Control,107.00625,14.75625,92.25,6.321041988
8,C8,Control,50.879625,1.120875,49.75875,18.53006501
9,C9,Control,93.43875,22.07625,71.3625,19.03054925
10,C1,N,1304.2125,326.3625,977.85,18.11321948
11,C2,N,158.98125,14.75625,144.225,14.11006748
12,C3,N,752.5875,175.8375,576.75,11.8036398
13,C4,N,289.17,15.195,273.975,4.881654413
14,C5,N,809.7375,172.9875,636.75,10.81438511
15,C6,N,442.1625,49.9125,392.25,3.277184685
16,C7,N,151.6139175,0.0764175,151.5375,4.721789443
17,C8,N,440.535,27.3975,413.1375,28.97192109
18,C9,N,1274.25,88.125,1186.125,1.691786567
19,C1,P,26.67375,6.70875,19.965,68.89201308
20,C2,P,32.178,2.5605,29.6175,34.13003017
21,C3,P,70.36125,28.4025,41.95875,274.8508787
22,C4,P,10.70775,3.34575,7.362,51.24267193
23,C5,P,30.5625,2.92875,27.63375,50.86628344
24,C6,P,25.963875,4.142625,21.82125,61.0254731
25,C7,P,30.863475,4.107225,26.75625,15.35081727
26,C8,P,13.188375,1.297125,11.89125,285.8900196
27,C9,P,249.81375,41.16375,208.65,94.30360731
28,C1,NP,682.635,148.5975,534.0375,103.0710345
29,C2,NP,13.551,2.12475,11.42625,27.99469321
30,C3,NP,530.36625,38.74125,491.625,59.2258839
31,C4,NP,244.8225,11.5725,233.25,114.7116771
32,C5,NP,557.3625,241.05,316.3125,135.2407834
33,C6,NP,320.85,57.1125,263.7375,72.24684309
34,C7,NP,102.618,6.468,96.15,17.1894949
35,C8,NP,404.6475,39.9975,364.65,42.87564818
36,C9,NP,809.6325,55.2075,754.425,27.57287456
