Stand,Plot,Age,Treatment,Plot total trees,Plot basal area,Green Ash,Bigtooth Aspen,Basswood,Black cherry,American beech,FIR,HEMLOCK,Pin cherry,Quaking Aspen,Red maple,Red oak,Red Spruce,Sugar maple,Striped maple,White birch,Yellow birch
C1,1,Young,P,22,5520,141,0,0,0,269,0,0,1600,0,0,0,0,0,0,3401,108
C1,2,Young,N,11,3900,102,0,0,0,116,0,0,1193,0,0,0,0,0,0,2490,0
C1,3,Young,Control,15,4128,0,0,0,0,870,87,0,444,0,0,0,0,97,0,2631,0
C1,4,Young,NP,20,6299,0,0,0,0,94,0,0,1085,0,147,0,125,0,0,4588,260
C2,1,Young,NP,16,5821,0,0,0,0,1956,0,0,278,0,2401,0,0,0,0,1091,95
C2,2,Young,Control,21,6380,0,0,0,0,512,0,243,1612,0,2461,0,0,0,0,1467,85
C2,3,Young,P,37,8893,338,0,0,0,2225,0,0,1097,0,3160,0,0,0,87,1593,392
C2,4,Young,N,38,8616,0,0,0,0,1596,0,211,500,0,3062,123,0,0,87,2955,82
C3,1,Young,NP,101,21075,296,0,0,0,5225,0,0,2295,0,7453,0,177,2930,323,1362,1015
C3,2,Young,P,93,16419,0,0,0,0,4704,0,0,2968,0,2748,0,0,742,366,3231,1660
C3,3,Young,N,88,15171,0,0,0,0,4207,0,0,3641,0,3280,0,0,266,940,2012,825
C3,4,Young,Control,85,14550,0,0,0,0,4032,0,0,4609,0,673,0,0,340,553,2453,1890
C4,1,Mid-aged,NP,107,24319,0,7581,0,0,2192,0,808,2287,0,2682,0,0,0,0,8405,364
C4,2,Mid-aged,N,120,26199,0,18307,0,0,673,0,0,484,0,282,547,0,0,0,4615,1291
C4,3,Mid-aged,Control,104,20097,1019,106,0,333,1091,0,0,994,158,3848,616,0,115,0,11644,173
C4,4,Mid-aged,P,98,19006,0,0,0,0,989,0,2885,769,0,437,430,297,0,0,11929,1271
C5,1,Mid-aged,Control,93,16062,0,0,0,0,773,0,0,1359,0,1842,503,0,163,0,10078,1345
C5,2,Mid-aged,NP,89,18283,0,0,0,0,1209,0,0,830,0,1109,260,0,232,0,13813,831
C5,3,Mid-aged,N,89,15041,0,0,0,0,969,0,0,723,0,847,0,0,377,80,11958,87
C5,4,Mid-aged,P,85,16936,0,360,0,0,592,0,0,1064,0,685,0,0,127,87,12865,1156
C6,1,Mid-aged,NP,132,25403,0,0,0,0,3460,0,1290,227,0,8513,0,0,536,99,6735,4543
C6,2,Mid-aged,Control,140,26987,324,0,0,0,2359,0,2026,509,0,5140,0,0,1721,117,6872,7920
C6,3,Mid-aged,N,148,26579,0,398,0,0,3111,0,434,705,0,8621,0,0,475,0,6464,6371
C6,4,Mid-aged,P,145,22621,0,495,0,0,3618,0,0,705,0,5142,0,191,489,220,7323,4439
C7,1,Old,N,49,30700,0,0,0,0,18721,0,174,0,0,0,0,0,9669,0,0,2136
C7,2,Old,NP,33,27411,4138,0,0,0,18280,0,0,0,0,0,0,0,4763,0,0,230
C7,3,Old,P,36,33261,0,0,0,0,12705,0,4936,0,0,0,0,0,11410,0,0,4210
C7,4,Old,Control,54,37838,0,0,0,0,21179,0,0,0,0,0,0,0,13741,0,0,2918
C8,1,Old,P,46,42613,4403,0,0,0,17772,0,150,0,0,0,0,0,19041,0,0,1247
C8,2,Old,Control,48,40505,2472,0,2165,0,15462,0,268,0,0,0,0,0,15203,0,0,4935
C8,3,Old,N,44,34398,487,0,0,0,13468,0,145,0,0,1669,0,0,12057,0,0,6571
C8,4,Old,NP,28,37188,1452,0,0,0,20335,0,181,0,0,0,0,0,9287,0,824,5108
C9,1,Old,Control,32,26337,0,0,0,0,5989,0,0,0,0,0,0,0,12253,0,0,8095
C9,2,Old,P,46,31788,0,0,0,0,4766,0,0,0,0,0,0,0,22239,0,0,4783
C9,3,Old,NP,43,28686,0,0,0,0,12026,0,0,0,0,0,0,0,14737,0,0,1923
C9,4,Old,N,41,25405,0,0,0,0,8356,0,0,0,0,0,0,0,10460,0,0,6590
