"","Stand","BA","Treatment","Age","refl"
"1","C9",26336.6383539,"Control","~100 years old",0.00435999623322203
"2","C7",37838.32302004,"Control","~100 years old",0.00474179451808422
"3","C8",40504.91467487,"Control","~100 years old",0.00546300610891014
"4","C9",25405.23468714,"N","~100 years old",0.00408119510837497
"5","C7",30700.11412422,"N","~100 years old",0.00423955037465109
"6","C8",34397.99638121,"N","~100 years old",0.00488733089229624
"7","C9",31788.2597002,"P","~100 years old",0.00498361701401882
"8","C7",33260.92835738,"P","~100 years old",0.00525109152277259
"9","C8",42613.24532435,"P","~100 years old",0.00531335507841626
"10","C7",27410.6703234,"NP","~100 years old",0.00495153380001688
"11","C9",28685.69353438,"NP","~100 years old",0.00457222870369278
"12","C8",37188.14687015,"NP","~100 years old",0.0045994345585738
"13","C1",4128.46893741,"Control","~30 years old",0.00359175080176149
"14","C2",6380.40963746,"Control","~30 years old",0.00362549772224363
"15","C3",14550.03479929,"Control","~30 years old",0.0043995964045583
"16","C1",3899.82382814,"N","~30 years old",0.00390767972193711
"17","C2",8616.21040439,"N","~30 years old",0.00363924429027865
"18","C3",15171.4575231,"N","~30 years old",0.00412711763410465
"19","C1",5519.84888427,"P","~30 years old",0.00425609415359604
"20","C2",8893.21247832,"P","~30 years old",0.00434520546662696
"21","C3",16419.41591412,"P","~30 years old",0.00492219708935292
"22","C2",5821.11190649,"NP","~30 years old",0.00404694392480677
"23","C1",6298.78320728,"NP","~30 years old",0.00336147808984606
"24","C3",21074.85559448,"NP","~30 years old",0.00441962207253884
"25","C5",16062.48387076,"Control","~60 years old",0.00409804068646433
"26","C4",20097.00348137,"Control","~60 years old",0.00421504817892459
"27","C6",26986.83806625,"Control","~60 years old",0.00414351528165248
"28","C5",15041.19138689,"N","~60 years old",0.00404943970330434
"29","C4",26199.40573571,"N","~60 years old",0.00420627692807035
"30","C6",26578.59596231,"N","~60 years old",0.00378715777001192
"31","C5",16935.60314002,"P","~60 years old",0.00445711479910339
"32","C4",19005.56708853,"P","~60 years old",0.0050288485840771
"33","C6",22620.68408679,"P","~60 years old",0.00449286951629874
"34","C5",18282.78873357,"NP","~60 years old",0.0043512958722117
"35","C4",24318.88767571,"NP","~60 years old",0.00405813718581932
"36","C6",25402.61931233,"NP","~60 years old",0.00440189238962679
