"","Stand","Trt","total_N","no3","nh4","P"
"1","C1","Con",153.496875,1.846875,151.65,6.46246661436926
"2","C2","Con",53.631375,5.770125,47.86125,4.14114846994001
"3","C3","Con",152.8125,59.2125,93.6,4.1700270286604
"4","C4","Con",135.08175,1.80675,133.275,5.13119521856561
"5","C5","Con",214.673625,2.948625,211.725,54.3232071857672
"6","C6","Con",196.65,19.9875,176.6625,3.40644499812581
"7","C7","Con",107.00625,14.75625,92.25,6.32104198801006
"8","C8","Con",50.879625,1.120875,49.75875,18.5300650113893
"9","C9","Con",93.43875,22.07625,71.3625,19.0305492470178
"10","C1","N",1304.2125,326.3625,977.85,18.1132194766831
"11","C2","N",158.98125,14.75625,144.225,14.1100674758395
"12","C3","N",752.5875,175.8375,576.75,11.8036398039157
"13","C4","N",289.17,15.195,273.975,4.88165441344466
"14","C5","N",809.7375,172.9875,636.75,10.8143851055566
"15","C6","N",442.1625,49.9125,392.25,3.27718468536892
"16","C7","N",151.6139175,0.0764175,151.5375,4.72178944265126
"17","C8","N",440.535,27.3975,413.1375,28.9719210900076
"18","C9","N",1274.25,88.125,1186.125,1.69178656657434
"19","C1","P",26.67375,6.70875,19.965,68.892013082662
"20","C2","P",32.178,2.5605,29.6175,34.1300301716207
"21","C3","P",70.36125,28.4025,41.95875,274.850878683417
"22","C4","P",10.70775,3.34575,7.362,51.242671928346
"23","C5","P",30.5625,2.92875,27.63375,50.8662834359283
"24","C6","P",25.963875,4.142625,21.82125,61.025473100441
"25","C7","P",30.863475,4.107225,26.75625,15.3508172678686
"26","C8","P",13.188375,1.297125,11.89125,285.890019636169
"27","C9","P",249.81375,41.16375,208.65,94.3036073096932
"28","C1","NP",682.635,148.5975,534.0375,103.071034492651
"29","C2","NP",13.551,2.12475,11.42625,27.9946932143224
"30","C3","NP",530.36625,38.74125,491.625,59.225883901321
"31","C4","NP",244.8225,11.5725,233.25,114.711677107744
"32","C5","NP",557.3625,241.05,316.3125,135.240783364288
"33","C6","NP",320.85,57.1125,263.7375,72.2468430871198
"34","C7","NP",102.618,6.468,96.15,17.1894948969456
"35","C8","NP",404.6475,39.9975,364.65,42.875648177354
"36","C9","NP",809.6325,55.2075,754.425,27.5728745590825
